school_name,organization_number,municipality,county,address,postal_code,postal_city,mobbing_by_students_pct,mobbing_by_adults_pct,mobbing_digital_pct,students_2025_26,special_education_2025_26,enhanced_norwegian_2025_26,teachers_2025_26,teacher_density_2025_26,latitude,longitude,geocoded_address,geocoding_status,src__EnhetNivaa,src__Nasjonaltkode,src__Fylkekode,src__Kommunekode,src__Organisasjonsnummer,src__Nasjonalt,src__Fylke,src__Kommune,src__EnhetNavn3,src__EnhetNavn,src__Address,src__Alle spørsmøl,src__Er du blitt mobbet av andre elever? skolen de siste månedene?,src__Er du blitt mobbet av voksne? skolen de siste?nedene?,"src__Er du blitt mobbet digitalt (mobil, iPad, PC) de siste m?nedene?",src__2021-22.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever,src__2021-22.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med individuelt tilrettelagt opplæring/spesialundervisning,src__2021-22.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med forsterket opplæring i norsk,src__2021-22.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall skoler,src__2022-23.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever,src__2022-23.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med individuelt tilrettelagt opplæring/spesialundervisning,src__2022-23.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med forsterket opplæring i norsk,src__2022-23.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall skoler,src__2023-24.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever,src__2023-24.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med individuelt tilrettelagt opplæring/spesialundervisning,src__2023-24.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med forsterket opplæring i norsk,src__2023-24.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall skoler,src__2024-25.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever,src__2024-25.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med individuelt tilrettelagt opplæring/spesialundervisning,src__2024-25.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med forsterket opplæring i norsk,src__2024-25.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall skoler,src__2025-26.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever,src__2025-26.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med individuelt tilrettelagt opplæring/spesialundervisning,src__2025-26.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall elever med forsterket opplæring i norsk,src__2025-26.Alle trinn.Alle trinn.Alle kjønn.Alle eierformer.Antall skoler,src__2021-22.Alle kjønn.Alle eierformer.Antall lærere,src__2021-22.Alle kjønn.Alle eierformer.Antall lærerårsverk,src__2021-22.Alle kjønn.Alle eierformer.Antall lærerårsverk til undervisning,src__2021-22.Alle kjønn.Alle eierformer.Antall assistentårsverk i undervisningen,src__2022-23.Alle kjønn.Alle eierformer.Antall lærere,src__2022-23.Alle kjønn.Alle eierformer.Antall lærerårsverk,src__2022-23.Alle kjønn.Alle eierformer.Antall lærerårsverk til undervisning,src__2022-23.Alle kjønn.Alle eierformer.Antall assistentårsverk i undervisningen,src__2023-24.Alle kjønn.Alle eierformer.Antall lærere,src__2023-24.Alle kjønn.Alle eierformer.Antall lærerårsverk,src__2023-24.Alle kjønn.Alle eierformer.Antall lærerårsverk til undervisning,src__2023-24.Alle kjønn.Alle eierformer.Antall assistentårsverk i undervisningen,src__2024-25.Alle kjønn.Alle eierformer.Antall lærere,src__2024-25.Alle kjønn.Alle eierformer.Antall lærerårsverk,src__2024-25.Alle kjønn.Alle eierformer.Antall lærerårsverk til undervisning,src__2024-25.Alle kjønn.Alle eierformer.Antall assistentårsverk i undervisningen,src__2025-26.Alle kjønn.Alle eierformer.Antall lærere,src__2025-26.Alle kjønn.Alle eierformer.Antall lærerårsverk,src__2025-26.Alle kjønn.Alle eierformer.Antall lærerårsverk til undervisning,src__2025-26.Alle kjønn.Alle eierformer.Antall assistentårsverk i undervisningen,src__2021-22.Alle trinn.Alle eierformer.Lærertetthet i ordinær undervisning,src__2022-23.Alle trinn.Alle eierformer.Lærertetthet i ordinær undervisning,src__2023-24.Alle trinn.Alle eierformer.Lærertetthet i ordinær undervisning,src__2024-25.Alle trinn.Alle eierformer.Lærertetthet i ordinær undervisning,src__2025-26.Alle trinn.Alle eierformer.Lærertetthet i ordinær undervisning,src__Vurderingsfagkode,src__Vurderingsfagnavn,src__2021-22.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter,src__2021-22.Standpunkt.Alle eierformer.Alle kjønn.Antall elever,src__2022-23.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter,src__2022-23.Standpunkt.Alle eierformer.Alle kjønn.Antall elever,src__2023-24.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter,src__2023-24.Standpunkt.Alle eierformer.Alle kjønn.Antall elever,src__2024-25.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter,src__2024-25.Standpunkt.Alle eierformer.Alle kjønn.Antall elever,src__2022-23.Alle eierformer.Alle kjønn.Grunnskolepoeng,src__2022-23.Alle eierformer.Alle kjønn.Antall elever,src__2023-24.Alle eierformer.Alle kjønn.Grunnskolepoeng,src__2023-24.Alle eierformer.Alle kjønn.Antall elever,src__2024-25.Alle eierformer.Alle kjønn.Grunnskolepoeng,src__2024-25.Alle eierformer.Alle kjønn.Antall elever,src__2022-23.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2022-23.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2022-23.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Engelsk.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Lesing.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Regning.5. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2022-23.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2022-23.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2022-23.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2022-23.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2023-24.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2023-24.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2023-24.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2024-25.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2024-25.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2024-25.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Engelsk.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Lesing.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2025-26.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Skalapoeng,src__2025-26.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Usikkerhet,src__2025-26.Regning.8. årstrinn.Alle eierformer.Alle kjønn.Antall elever deltatt,src__2020-21.Alle eierformer.Alle kj?nn.Median dager,src__2020-21.Alle eierformer.Alle kj?nn.Median timer,src__2020-21.Alle eierformer.Alle kj?nn.Antall elever,src__2021-22.Alle eierformer.Alle kj?nn.Median dager,src__2021-22.Alle eierformer.Alle kj?nn.Median timer,src__2021-22.Alle eierformer.Alle kj?nn.Antall elever,src__2022-23.Alle eierformer.Alle kj?nn.Median dager,src__2022-23.Alle eierformer.Alle kj?nn.Median timer,src__2022-23.Alle eierformer.Alle kj?nn.Antall elever,src__2023-24.Alle eierformer.Alle kj?nn.Median dager,src__2023-24.Alle eierformer.Alle kj?nn.Median timer,src__2023-24.Alle eierformer.Alle kj?nn.Antall elever,src__2024-25.Alle eierformer.Alle kj?nn.Median dager,src__2024-25.Alle eierformer.Alle kj?nn.Median timer,src__2024-25.Alle eierformer.Alle kj?nn.Antall elever,src__address,geocoding_query
Alvøen skole,874738352,Bergen,Vestland,"Janaflaten 31, 5179 Godvik",,,7.5,0.0,,351,15,8,30,1485.0,60.3652129,5.1871725,"31, Janaflaten, Kongshavn, Godvik, Laksevåg, Bergen, Vestland, 5179, Norge",matched_nominatim,4,I,46,4601,874738352,Hele landet,Vestland,Bergen,Alvøen skole,Alvøen skole,"Janaflaten 31, 5179 Godvik","7,5","7,5","0,0",*,364,20,23,,354,18,19,,342,20,20,,353,18,18,,351,15,8,,30,"28,1","25,7","4,2",27,"28,8","26,4","3,1",32,"30,4","27,7","2,9",31,"28,0","26,0","3,3",30,"29,5","26,7","4,1",1615,1509,1433,1640,1485,,,,,,,,,,,,,,,,,54,"2,6",52,52,"2,2",51,55,"2,5",52,53,"3,1",37,52,"2,5",35,52,"2,9",37,55,"3,0",43,49,"2,8",43,53,"3,1",43,51,"2,3",49,50,"2,4",48,54,"2,3",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Janaflaten 31, 5179 Godvik","Janaflaten 31, 5179 Godvik, Bergen, Norway"
Apeltun skole,986171096,Bergen,Vestland,"Apeltunvegen 94, 5238 Rådal",,,,,,313,8,20,26,1521.0,60.297689,5.342127,"94, Apeltunvegen, Fana, Bergen, Vestland, 5238, Norge",matched_nominatim,4,I,46,4601,986171096,Hele landet,Vestland,Bergen,Apeltun skole,Apeltun skole,"Apeltunvegen 94, 5238 Rådal","14,9",*,*,*,311,17,10,,312,13,12,,299,10,13,,322,6,17,,313,8,20,,29,"24,5","21,6","2,6",25,"24,3","21,7","2,2",23,"23,3","20,6","2,0",27,"25,2","22,8","4,0",26,"25,1","23,1","3,4",1648,1654,1691,1609,1521,,,,,,,,,,,,,,,,,52,"3,1",41,55,"2,9",41,53,"2,5",41,51,"2,4",49,53,"2,6",48,49,"2,5",48,50,"2,8",40,46,"3,3",40,50,"2,9",39,52,"2,8",44,52,"2,5",44,56,"2,4",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apeltunvegen 94, 5238 Rådal","Apeltunvegen 94, 5238 Rådal, Bergen, Norway"
Aurdalslia skole,974222078,Bergen,Vestland,"Aurdalslia 30, 5253 Sandsli",,,,0.0,,412,21,61,36,1676.0,60.3072352,5.2816406,"30, Aurdalslia, Sandsli, Ytrebygda, Bergen, Vestland, 5253, Norge",matched_nominatim,4,I,46,4601,974222078,Hele landet,Vestland,Bergen,Aurdalslia skole,Aurdalslia skole,"Aurdalslia 30, 5253 Sandsli","3,8",*,"0,0",*,402,14,55,,402,16,58,,396,19,62,,407,21,63,,412,21,61,,38,"32,2","28,4","2,2",38,"32,4","28,5","2,4",34,"32,6","28,7","3,3",36,"33,6","30,0","3,8",36,"32,8","30,0","4,2",1651,1693,1683,1677,1676,,,,,,,,,,,,,,,,,53,"2,8",51,53,"2,2",51,55,"2,5",51,53,"2,7",46,51,"2,8",45,57,"2,3",45,56,"3,2",44,51,"2,7",44,55,"3,0",46,50,"2,4",60,49,"2,3",60,52,"2,5",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aurdalslia 30, 5253 Sandsli","Aurdalslia 30, 5253 Sandsli, Bergen, Norway"
Bergen Kristne grunnskole,974309424,Bergen,Vestland,"Øvre Kråkenes 49, 5152 Bønes",,,,,,237,26,26,35,1609.0,60.3389874,5.3202366,"49, Øvre Kråkenes, Haneborg, Bønes, Fyllingsdalen, Bergen, Vestland, 5152, Norge",matched_nominatim,4,I,46,4601,974309424,Hele landet,Vestland,Bergen,Bergen Kristne grunnskole,Bergen Kristne grunnskole,"Øvre Kråkenes 49, 5152 Bønes",,,,,198,27,20,,190,28,16,,205,21,22,,236,25,38,,237,26,26,,30,"23,4","21,0","7,3",30,"19,2","17,0","3,4",26,"21,6","20,0","2,6",28,"25,7","22,7","5,0",35,"27,4","23,8","4,7",1370,1851,1504,1647,1609,ENG0029,Fordypning i engelsk 10. årstrinn,*,*,*,*,"4,1",12,*,*,"44,1",17,"38,5",12,"45,1",22,49,"4,2",22,48,"4,0",23,45,"4,4",19,53,"2,9",20,44,"3,3",19,49,"3,0",16,53,"4,4",18,49,"3,1",18,51,"3,5",18,51,"4,4",19,49,"3,6",18,47,"4,9",19,48,"3,2",22,48,"2,8",20,45,"5,5",21,47,"4,6",15,46,"4,6",12,45,"3,4",13,50,"3,3",20,44,"4,0",20,48,"4,6",18,50,"3,2",18,47,"3,6",18,46,"2,3",17,"3,0","3,0",23,"6,0","2,5",22,100,30,19,"17,5","8,5",14,105,30,24,"Øvre Kråkenes 49, 5152 Bønes","Øvre Kråkenes 49, 5152 Bønes, Bergen, Norway"
Bjørgvin montessoriskole,992780010,Bergen,Vestland,"Storetveitvegen 86, 5072 Bergen",,,,0.0,0.0,101,8,0,12,1300.0,60.349844,5.350759,"86, Storetveitvegen, Fantoft, Årstad, Bergen, Vestland, 5072, Norge",matched_nominatim,4,I,46,4601,992780010,Hele landet,Vestland,Bergen,Bjørgvin montessoriskole,Bjørgvin montessoriskole,"Storetveitvegen 86, 5072 Bergen",*,*,"0,0","0,0",91,*,0,,94,*,0,,94,*,0,,99,8,0,,101,8,0,,11,"12,7","12,6","0,3",14,"12,7","12,6","0,7",12,"12,7","12,6","1,2",12,"12,7","12,6","2,1",12,"12,4","12,2","4,0",1015,1145,1167,1289,1300,,,,,,,,,,,"50,2",10,*,*,"48,7",8,*,*,*,*,*,*,*,*,*,54,"5,5",10,53,"5,9",10,54,"5,5",10,51,"4,2",11,49,"4,9",11,47,"4,9",11,53,"5,7",10,48,"7,1",10,,,,56,"7,0",10,56,"5,5",10,57,"4,6",10,*,*,*,*,*,*,*,*,*,*,*,*,52,"4,8",11,*,*,*,54,"4,5",11,47,"4,2",11,47,"5,8",12,*,*,*,*,*,*,20,20,11,*,*,*,30,120,9,"Storetveitvegen 86, 5072 Bergen","Storetveitvegen 86, 5072 Bergen, Bergen, Norway"
Bjørndalsskogen skole,974738627,Bergen,Vestland,"Bjørndalsskogen 37, 5170 Bjørndalstræ",,,,0.0,7.3,318,7,22,26,1527.0,60.3478479,5.2435519,"37, Bjørndalsskogen, Bjørndalsstølen, Bjørndal, Laksevåg, Bergen, Vestland, 5170, Norge",matched_nominatim,4,I,46,4601,974738627,Hele landet,Vestland,Bergen,Bjørndalsskogen skole,Bjørndalsskogen skole,"Bjørndalsskogen 37, 5170 Bjørndalstræ","2,4",*,"0,0","7,3",299,10,22,,313,10,20,,312,10,25,,316,8,31,,318,7,22,,25,"22,5","20,2","2,0",25,"25,0","21,4","2,0",25,"26,0","23,3","2,5",25,"25,2","22,5","3,3",26,"26,0","22,9","4,2",1662,1652,1509,1505,1527,,,,,,,,,,,,,,,,,48,"2,4",38,49,"2,8",40,49,"2,9",40,50,"2,8",42,51,"2,6",41,50,"2,3",42,49,"2,3",42,47,"1,9",40,50,"2,4",42,52,"3,3",42,46,"2,8",42,49,"3,1",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bjørndalsskogen 37, 5170 Bjørndalstræ","Bjørndalsskogen 37, 5170 Bjørndalstræ, Bergen, Norway"
Blokkhaugen skole,974737817,Bergen,Vestland,"Myrdalsvegen 53, 5118 Ulset",,,,,,299,14,0,25,1946.0,60.4732997,5.3155227,"Myrdalsvegen, Ulset, Åsane, Bergen, Vestland, 5130, Norge",matched_nominatim,4,I,46,4601,974737817,Hele landet,Vestland,Bergen,Blokkhaugen skole,Blokkhaugen skole,"Myrdalsvegen 53, 5118 Ulset",,,,,295,*,0,,281,*,0,,287,6,*,,287,8,*,,299,14,0,,25,"23,2","20,6","2,1",26,"23,5","20,5","1,8",26,"24,0","21,0","1,8",26,"23,6","20,8","1,8",25,"23,4","21,2","1,8",1992,1870,1968,1998,1946,ENG0029,Fordypning i engelsk 10. årstrinn,"4,1",14,"4,1",16,"4,1",16,"4,4",12,"43,1",108,"40,2",82,"42,1",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,49,"2,1",73,47,"1,7",115,47,"1,8",116,48,"1,7",116,51,"1,9",85,49,"1,7",86,48,"2,0",88,52,"1,7",91,49,"1,7",93,49,"1,9",92,"1,5","7,0",84,"3,0","7,0",94,110,70,111,"10,0","7,0",87,140,85,82,"Myrdalsvegen 53, 5118 Ulset","Myrdalsvegen 53, 5118 Ulset, Bergen, Norway"
Breimyra skole,980155307,Bergen,Vestland,"Breimyra 68b, 5134 Flaktveit",,,,,,197,21,,20,2022.0,60.4584963,5.3667643,"68B, Breimyra, Flaktveit, Åsane, Bergen, Vestland, 5134, Norge",matched_nominatim,4,I,46,4601,980155307,Hele landet,Vestland,Bergen,Breimyra skole,Breimyra skole,"Breimyra 68b, 5134 Flaktveit",,,,,233,24,6,,231,24,*,,196,30,*,,192,26,*,,197,21,*,,22,"20,6","18,5","1,1",23,"21,5","19,5","1,1",22,"16,7","14,9","1,1",21,"18,4","16,6","1,6",20,"18,1","15,7","1,6",1917,1996,1995,1985,2022,ENG0029,Fordypning i engelsk 10. årstrinn,"3,7",9,"3,9",13,"4,4",14,"3,8",9,"42,3",72,"39,8",64,"41,5",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,"2,8",44,,,0,,,0,45,"2,1",46,45,"2,2",47,46,"2,7",46,50,"2,1",66,48,"2,4",65,43,"2,1",67,50,"2,1",72,47,"1,8",72,48,"2,2",71,"0,0","3,0",75,"2,0","6,0",77,90,80,75,"11,0","8,0",73,130,160,67,"Breimyra 68b, 5134 Flaktveit","Breimyra 68b, 5134 Flaktveit, Bergen, Norway"
Bønes skole,974738287,Bergen,Vestland,"Bønesberget 1, 5153 Bønes",,,10.2,0.0,,395,13,12,30,1635.0,60.3324,5.3086155,"1, Bønesberget, Bønes, Fyllingsdalen, Bergen, Vestland, 5153, Norge",matched_nominatim,4,I,46,4601,974738287,Hele landet,Vestland,Bergen,Bønes skole,Bønes skole,"Bønesberget 1, 5153 Bønes","10,2","10,2","0,0",*,343,6,8,,370,*,9,,375,11,13,,390,12,13,,395,13,12,,25,"24,7","22,4","2,4",27,"25,8","23,3","2,6",30,"27,6","24,8","1,6",31,"29,1","26,2","2,8",30,"30,1","26,4","2,6",1664,1676,1631,1595,1635,,,,,,,,,,,,,,,,,52,"2,5",51,55,"2,4",51,56,"2,6",52,55,"2,4",51,55,"2,3",51,55,"2,4",51,51,"2,5",51,53,"2,3",51,51,"2,3",50,48,"2,8",60,51,"2,2",60,54,"2,1",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bønesberget 1, 5153 Bønes","Bønesberget 1, 5153 Bønes, Bergen, Norway"
Christi Krybbe Skoler,974737957,Bergen,Vestland,"Vetrelidsallmenningen 10, 5014 Bergen",,,,0.0,,172,7,10,15,1431.0,,,,not_found,4,I,46,4601,974737957,Hele landet,Vestland,Bergen,Christi Krybbe Skoler,Christi Krybbe Skoler,"Vetrelidsallmenningen 10, 5014 Bergen",*,*,"0,0",*,173,*,*,,173,*,7,,168,*,6,,176,*,9,,172,7,10,,14,"13,6","12,0","1,8",15,"15,4","13,6","1,6",18,"14,9","12,7","1,2",15,"14,8","12,8","1,3",15,"15,2","13,1","0,9",1568,1385,1395,1451,1431,,,,,,,,,,,,,,,,,51,"3,9",22,52,"4,3",22,52,"3,6",20,53,"3,6",22,53,"3,2",22,53,"3,7",22,59,"3,5",21,54,"3,6",21,50,"3,6",21,53,"3,2",28,48,"3,6",29,54,"3,4",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vetrelidsallmenningen 10, 5014 Bergen",
Damsgård skole,974738392,Bergen,Vestland,"Herman Grans vei 2, 5162 Laksevåg",,,22.7,9.1,6.8,401,20,75,36,1571.0,60.382074,5.301337,"2, Herman Grans vei, Damsgård, Laksevåg, Bergen, Vestland, 5162, Norge",matched_nominatim,4,I,46,4601,974738392,Hele landet,Vestland,Bergen,Damsgård skole,Damsgård skole,"Herman Grans vei 2, 5162 Laksevåg","25,0","22,7","9,1","6,8",377,8,87,,405,8,105,,408,8,93,,403,14,102,,401,20,75,,35,"30,5","26,5","3,5",37,"32,6","29,2","4,4",39,"34,6","30,4","3,7",36,"34,5","30,7","4,4",36,"34,4","30,6","5,7",1529,1480,1415,1524,1571,,,,,,,,,,,,,,,,,52,"3,1",37,49,"3,5",37,50,"2,9",37,50,"2,7",47,47,"2,9",46,46,"3,2",46,49,"2,0",48,48,"2,7",49,50,"3,1",49,51,"2,6",58,47,"2,3",57,49,"3,0",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herman Grans vei 2, 5162 Laksevåg","Herman Grans vei 2, 5162 Laksevåg, Bergen, Norway"
Eidsvåg skole,974738554,Bergen,Vestland,"Granlien 1a, 5105 Eidsvåg",,,,0.0,0.0,231,11,23,17,1605.0,60.437624,5.304566,"1A, Granlien, Eidsvågneset, Eidsvåg, Åsane, Bergen, Vestland, 5105, Norge",matched_nominatim,4,I,46,4601,974738554,Hele landet,Vestland,Bergen,Eidsvåg skole,Eidsvåg skole,"Granlien 1a, 5105 Eidsvåg","6,5",*,"0,0","0,0",243,15,18,,234,14,10,,220,16,14,,219,12,19,,231,11,23,,18,"18,7","17,7","3,2",18,"18,0","16,4","2,4",17,"16,4","15,7","4,5",18,"16,4","15,0","2,1",17,"17,4","16,0","1,5",1621,1687,1684,1676,1605,,,,,,,,,,,,,,,,,,,0,52,"3,0",26,,,0,50,"3,1",37,50,"2,8",36,51,"2,7",34,52,"4,1",24,52,"4,2",26,48,"3,6",26,54,"3,6",27,54,"3,7",24,54,"3,7",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granlien 1a, 5105 Eidsvåg","Granlien 1a, 5105 Eidsvåg, Bergen, Norway"
